"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","Base_EAFRS","CAN","FOR","AREA",2020,"1000 ha",434393.69
"GLOBIOM","Base_EAFRS","CAN","FOR","AREA",2030,"1000 ha",434393.69
"GLOBIOM","Base_EAFRS","CAN","FOR","AREA",2040,"1000 ha",434393.69
"GLOBIOM","Base_EAFRS","CAN","FOR","AREA",2050,"1000 ha",434393.69
"GLOBIOM","Base_EAFRS","CHN","FOR","AREA",2000,"1000 ha",177691.6
"GLOBIOM","Base_EAFRS","CHN","FOR","AREA",2010,"1000 ha",177691.6
"GLOBIOM","Base_EAFRS","CHN","FOR","AREA",2020,"1000 ha",177691.6
"GLOBIOM","Base_EAFRS","CHN","FOR","AREA",2030,"1000 ha",177691.6
"GLOBIOM","Base_EAFRS","CHN","FOR","AREA",2040,"1000 ha",177691.6
"GLOBIOM","Base_EAFRS","CHN","FOR","AREA",2050,"1000 ha",177691.6
"GLOBIOM","Base_EAFRS","EUR","FOR","AREA",2000,"1000 ha",172656.603
"GLOBIOM","Base_EAFRS","EUR","FOR","AREA",2010,"1000 ha",177111.9562848
"GLOBIOM","Base_EAFRS","EUR","FOR","AREA",2020,"1000 ha",179964.3108224
"GLOBIOM","Base_EAFRS","EUR","FOR","AREA",2030,"1000 ha",179964.3108224
"GLOBIOM","Base_EAFRS","EUR","FOR","AREA",2040,"1000 ha",179964.3108224
"GLOBIOM","Base_EAFRS","EUR","FOR","AREA",2050,"1000 ha",179964.3108224
"GLOBIOM","Base_EAFRS","MEN","FOR","AREA",2000,"1000 ha",39372.016
"GLOBIOM","Base_EAFRS","MEN","FOR","AREA",2010,"1000 ha",39372.016
"GLOBIOM","Base_EAFRS","MEN","FOR","AREA",2020,"1000 ha",39372.016
"GLOBIOM","Base_EAFRS","MEN","FOR","AREA",2030,"1000 ha",39372.016
"GLOBIOM","Base_EAFRS","MEN","FOR","AREA",2040,"1000 ha",39372.016
"GLOBIOM","Base_EAFRS","MEN","FOR","AREA",2050,"1000 ha",39372.016
"GLOBIOM","Base_EAFRS","OAS","FOR","AREA",2000,"1000 ha",49139.33
"GLOBIOM","Base_EAFRS","OAS","FOR","AREA",2010,"1000 ha",48491.9093624712
"GLOBIOM","Base_EAFRS","OAS","FOR","AREA",2020,"1000 ha",48154.8057882395
"GLOBIOM","Base_EAFRS","OAS","FOR","AREA",2030,"1000 ha",48081.3907994897
"GLOBIOM","Base_EAFRS","OAS","FOR","AREA",2040,"1000 ha",47807.7977949039
"GLOBIOM","Base_EAFRS","OAS","FOR","AREA",2050,"1000 ha",47469.0170439209
"GLOBIOM","Base_EAFRS","OSA","FOR","AREA",2000,"1000 ha",480770.143
"GLOBIOM","Base_EAFRS","OSA","FOR","AREA",2010,"1000 ha",473560.19955028
"GLOBIOM","Base_EAFRS","OSA","FOR","AREA",2020,"1000 ha",466620.860786479
"GLOBIOM","Base_EAFRS","OSA","FOR","AREA",2030,"1000 ha",460185.890110533
"GLOBIOM","Base_EAFRS","OSA","FOR","AREA",2040,"1000 ha",453906.218403732
"GLOBIOM","Base_EAFRS","OSA","FOR","AREA",2050,"1000 ha",446850.206364616
"GLOBIOM","Base_EAFRS","SEA","FOR","AREA",2000,"1000 ha",266379.132
"GLOBIOM","Base_EAFRS","SEA","FOR","AREA",2010,"1000 ha",259743.499404364
"GLOBIOM","Base_EAFRS","SEA","FOR","AREA",2020,"1000 ha",253199.107201266
"GLOBIOM","Base_EAFRS","SEA","FOR","AREA",2030,"1000 ha",247127.425205015
"GLOBIOM","Base_EAFRS","SEA","FOR","AREA",2040,"1000 ha",240801.670111138
"GLOBIOM","Base_EAFRS","SEA","FOR","AREA",2050,"1000 ha",234444.747347347
"GLOBIOM","Base_EAFRS","SSA","FOR","AREA",2000,"1000 ha",771356.39
"GLOBIOM","Base_EAFRS","SSA","FOR","AREA",2010,"1000 ha",760690.866334297
"GLOBIOM","Base_EAFRS","SSA","FOR","AREA",2020,"1000 ha",749443.253859083
"GLOBIOM","Base_EAFRS","SSA","FOR","AREA",2030,"1000 ha",733238.893171596
"GLOBIOM","Base_EAFRS","SSA","FOR","AREA",2040,"1000 ha",716768.195367544
"GLOBIOM","Base_EAFRS","SSA","FOR","AREA",2050,"1000 ha",702235.51359331
"GLOBIOM","Base_EAFRS","IND","FOR","AREA",2000,"1000 ha",67443.3
"GLOBIOM","Base_EAFRS","IND","FOR","AREA",2010,"1000 ha",67443.3
"GLOBIOM","Base_EAFRS","IND","FOR","AREA",2020,"1000 ha",67443.3
"GLOBIOM","Base_EAFRS","IND","FOR","AREA",2030,"1000 ha",67443.3
"GLOBIOM","Base_EAFRS","IND","FOR","AREA",2040,"1000 ha",67443.3
"GLOBIOM","Base_EAFRS","IND","FOR","AREA",2050,"1000 ha",67443.3
"GLOBIOM","Base_EAFRS","AUT","FOR","AREA",2000,"1000 ha",3837.533
"GLOBIOM","Base_EAFRS","AUT","FOR","AREA",2010,"1000 ha",4347.1683125
"GLOBIOM","Base_EAFRS","AUT","FOR","AREA",2020,"1000 ha",4545.668
"GLOBIOM","Base_EAFRS","AUT","FOR","AREA",2030,"1000 ha",4545.668
"GLOBIOM","Base_EAFRS","AUT","FOR","AREA",2040,"1000 ha",4545.668
"GLOBIOM","Base_EAFRS","AUT","FOR","AREA",2050,"1000 ha",4545.668
"GLOBIOM","Base_EAFRS","BEL","FOR","AREA",2000,"1000 ha",668.41
"GLOBIOM","Base_EAFRS","BEL","FOR","AREA",2010,"1000 ha",678.4099922
"GLOBIOM","Base_EAFRS","BEL","FOR","AREA",2020,"1000 ha",688.8519473
"GLOBIOM","Base_EAFRS","BEL","FOR","AREA",2030,"1000 ha",688.8519473
"GLOBIOM","Base_EAFRS","BEL","FOR","AREA",2040,"1000 ha",688.8519473
"GLOBIOM","Base_EAFRS","BEL","FOR","AREA",2050,"1000 ha",688.8519473
"GLOBIOM","Base_EAFRS","BGR","FOR","AREA",2000,"1000 ha",3390.067
"GLOBIOM","Base_EAFRS","BGR","FOR","AREA",2010,"1000 ha",3902.28175
"GLOBIOM","Base_EAFRS","BGR","FOR","AREA",2020,"1000 ha",3910.846375
"GLOBIOM","Base_EAFRS","BGR","FOR","AREA",2030,"1000 ha",3910.846375
"GLOBIOM","Base_EAFRS","BGR","FOR","AREA",2040,"1000 ha",3910.846375
"GLOBIOM","Base_EAFRS","BGR","FOR","AREA",2050,"1000 ha",3910.846375
"GLOBIOM","Base_EAFRS","CYP","FOR","AREA",2000,"1000 ha",172.5
"GLOBIOM","Base_EAFRS","CYP","FOR","AREA",2010,"1000 ha",172.5
"GLOBIOM","Base_EAFRS","CYP","FOR","AREA",2020,"1000 ha",172.5
"GLOBIOM","Base_EAFRS","CYP","FOR","AREA",2030,"1000 ha",172.5
"GLOBIOM","Base_EAFRS","CYP","FOR","AREA",2040,"1000 ha",172.5
"GLOBIOM","Base_EAFRS","CYP","FOR","AREA",2050,"1000 ha",172.5
"GLOBIOM","Base_EAFRS","CZE","FOR","AREA",2000,"1000 ha",2637.5
"GLOBIOM","Base_EAFRS","CZE","FOR","AREA",2010,"1000 ha",2657.4999238
"GLOBIOM","Base_EAFRS","CZE","FOR","AREA",2020,"1000 ha",2679.3382578
"GLOBIOM","Base_EAFRS","CZE","FOR","AREA",2030,"1000 ha",2679.3382578
"GLOBIOM","Base_EAFRS","CZE","FOR","AREA",2040,"1000 ha",2679.3382578
"GLOBIOM","Base_EAFRS","CZE","FOR","AREA",2050,"1000 ha",2679.3382578
"GLOBIOM","Base_EAFRS","DEU","FOR","AREA",2000,"1000 ha",11064.833
"GLOBIOM","Base_EAFRS","DEU","FOR","AREA",2010,"1000 ha",11064.844168
"GLOBIOM","Base_EAFRS","DEU","FOR","AREA",2020,"1000 ha",11092.8340391
"GLOBIOM","Base_EAFRS","DEU","FOR","AREA",2030,"1000 ha",11092.8340391
"GLOBIOM","Base_EAFRS","DEU","FOR","AREA",2040,"1000 ha",11092.8340391
"GLOBIOM","Base_EAFRS","DEU","FOR","AREA",2050,"1000 ha",11092.8340391
"GLOBIOM","Base_EAFRS","DNK","FOR","AREA",2000,"1000 ha",485.567
"GLOBIOM","Base_EAFRS","DNK","FOR","AREA",2010,"1000 ha",545.6014297
"GLOBIOM","Base_EAFRS","DNK","FOR","AREA",2020,"1000 ha",605.8722188
"GLOBIOM","Base_EAFRS","DNK","FOR","AREA",2030,"1000 ha",605.8722188
"GLOBIOM","Base_EAFRS","DNK","FOR","AREA",2040,"1000 ha",605.8722188
"GLOBIOM","Base_EAFRS","DNK","FOR","AREA",2050,"1000 ha",605.8722188
"GLOBIOM","Base_EAFRS","ESP","FOR","AREA",2000,"1000 ha",16436.033
"GLOBIOM","Base_EAFRS","ESP","FOR","AREA",2010,"1000 ha",16436.033
"GLOBIOM","Base_EAFRS","ESP","FOR","AREA",2020,"1000 ha",16436.033
"GLOBIOM","Base_EAFRS","ESP","FOR","AREA",2030,"1000 ha",16436.033
"GLOBIOM","Base_EAFRS","ESP","FOR","AREA",2040,"1000 ha",16436.033
"GLOBIOM","Base_EAFRS","ESP","FOR","AREA",2050,"1000 ha",16436.033
"GLOBIOM","Base_EAFRS","EST","FOR","AREA",2000,"1000 ha",2243.067
"GLOBIOM","Base_EAFRS","EST","FOR","AREA",2010,"1000 ha",2243.067
"GLOBIOM","Base_EAFRS","EST","FOR","AREA",2020,"1000 ha",2243.067
"GLOBIOM","Base_EAFRS","EST","FOR","AREA",2030,"1000 ha",2243.067
"GLOBIOM","Base_EAFRS","EST","FOR","AREA",2040,"1000 ha",2243.067
"GLOBIOM","Base_EAFRS","EST","FOR","AREA",2050,"1000 ha",2243.067
"GLOBIOM","Base_EAFRS","FIN","FOR","AREA",2000,"1000 ha",22467.3
"GLOBIOM","Base_EAFRS","FIN","FOR","AREA",2010,"1000 ha",22467.3
"GLOBIOM","Base_EAFRS","FIN","FOR","AREA",2020,"1000 ha",22467.3
"GLOBIOM","Base_EAFRS","FIN","FOR","AREA",2030,"1000 ha",22467.3
"GLOBIOM","Base_EAFRS","FIN","FOR","AREA",2040,"1000 ha",22467.3
"GLOBIOM","Base_EAFRS","FIN","FOR","AREA",2050,"1000 ha",22467.3
"GLOBIOM","Base_EAFRS","FRA","FOR","AREA",2000,"1000 ha",15337.433
"GLOBIOM","Base_EAFRS","FRA","FOR","AREA",2010,"1000 ha",15937.0673125
"GLOBIOM","Base_EAFRS","FRA","FOR","AREA",2020,"1000 ha",16580.998625
"GLOBIOM","Base_EAFRS","FRA","FOR","AREA",2030,"1000 ha",16580.998625
"GLOBIOM","Base_EAFRS","FRA","FOR","AREA",2040,"1000 ha",16580.998625
"GLOBIOM","Base_EAFRS","FRA","FOR","AREA",2050,"1000 ha",16580.998625
"GLOBIOM","Base_EAFRS","GRC","FOR","AREA",2000,"1000 ha",4620.38
"GLOBIOM","Base_EAFRS","GRC","FOR","AREA",2010,"1000 ha",4685.8204141
"GLOBIOM","Base_EAFRS","GRC","FOR","AREA",2020,"1000 ha",4689.9522891
"GLOBIOM","Base_EAFRS","GRC","FOR","AREA",2030,"1000 ha",4689.9522891
"GLOBIOM","Base_EAFRS","GRC","FOR","AREA",2040,"1000 ha",4689.9522891
"GLOBIOM","Base_EAFRS","GRC","FOR","AREA",2050,"1000 ha",4689.9522891
"GLOBIOM","Base_EAFRS","HRV","FOR","AREA",2000,"1000 ha",2128.967
"GLOBIOM","Base_EAFRS","HRV","FOR","AREA",2010,"1000 ha",2161.8257656
"GLOBIOM","Base_EAFRS","HRV","FOR","AREA",2020,"1000 ha",2229.3803281
"GLOBIOM","Base_EAFRS","HRV","FOR","AREA",2030,"1000 ha",2229.3803281
"GLOBIOM","Base_EAFRS","HRV","FOR","AREA",2040,"1000 ha",2229.3803281
"GLOBIOM","Base_EAFRS","HRV","FOR","AREA",2050,"1000 ha",2229.3803281
"GLOBIOM","Base_EAFRS","HUN","FOR","AREA",2000,"1000 ha",1908.067
"GLOBIOM","Base_EAFRS","HUN","FOR","AREA",2010,"1000 ha",2028.8835625
"GLOBIOM","Base_EAFRS","HUN","FOR","AREA",2020,"1000 ha",2123.1977188
"GLOBIOM","Base_EAFRS","HUN","FOR","AREA",2030,"1000 ha",2123.1977188
"GLOBIOM","Base_EAFRS","HUN","FOR","AREA",2040,"1000 ha",2123.1977188
"GLOBIOM","Base_EAFRS","HUN","FOR","AREA",2050,"1000 ha",2123.1977188
"GLOBIOM","Base_EAFRS","IRL","FOR","AREA",2000,"1000 ha",607.4
"GLOBIOM","Base_EAFRS","IRL","FOR","AREA",2010,"1000 ha",707.5878203
"GLOBIOM","Base_EAFRS","IRL","FOR","AREA",2020,"1000 ha",802.9548594
"GLOBIOM","Base_EAFRS","IRL","FOR","AREA",2030,"1000 ha",802.9548594
"GLOBIOM","Base_EAFRS","IRL","FOR","AREA",2040,"1000 ha",802.9548594
"GLOBIOM","Base_EAFRS","IRL","FOR","AREA",2050,"1000 ha",802.9548594
"GLOBIOM","Base_EAFRS","ITA","FOR","AREA",2000,"1000 ha",9447
"GLOBIOM","Base_EAFRS","ITA","FOR","AREA",2010,"1000 ha",10229.6079375
"GLOBIOM","Base_EAFRS","ITA","FOR","AREA",2020,"1000 ha",10668.203375
"GLOBIOM","Base_EAFRS","ITA","FOR","AREA",2030,"1000 ha",10668.203375
"GLOBIOM","Base_EAFRS","ITA","FOR","AREA",2040,"1000 ha",10668.203375
"GLOBIOM","Base_EAFRS","ITA","FOR","AREA",2050,"1000 ha",10668.203375
"GLOBIOM","Base_EAFRS","LTU","FOR","AREA",2000,"1000 ha",2022.767
"GLOBIOM","Base_EAFRS","LTU","FOR","AREA",2010,"1000 ha",2162.767
"GLOBIOM","Base_EAFRS","LTU","FOR","AREA",2020,"1000 ha",2306.632375
"GLOBIOM","Base_EAFRS","LTU","FOR","AREA",2030,"1000 ha",2306.632375
"GLOBIOM","Base_EAFRS","LTU","FOR","AREA",2040,"1000 ha",2306.632375
"GLOBIOM","Base_EAFRS","LTU","FOR","AREA",2050,"1000 ha",2306.632375
"GLOBIOM","Base_EAFRS","LUX","FOR","AREA",2000,"1000 ha",86.8
"GLOBIOM","Base_EAFRS","LUX","FOR","AREA",2010,"1000 ha",91.394147
"GLOBIOM","Base_EAFRS","LUX","FOR","AREA",2020,"1000 ha",96.0219375
"GLOBIOM","Base_EAFRS","LUX","FOR","AREA",2030,"1000 ha",96.0219375
"GLOBIOM","Base_EAFRS","LUX","FOR","AREA",2040,"1000 ha",96.0219375
"GLOBIOM","Base_EAFRS","LUX","FOR","AREA",2050,"1000 ha",96.0219375
"GLOBIOM","Base_EAFRS","LVA","FOR","AREA",2000,"1000 ha",3250.68
"GLOBIOM","Base_EAFRS","LVA","FOR","AREA",2010,"1000 ha",3360.5671016
"GLOBIOM","Base_EAFRS","LVA","FOR","AREA",2020,"1000 ha",3461.0087031
"GLOBIOM","Base_EAFRS","LVA","FOR","AREA",2030,"1000 ha",3461.0087031
"GLOBIOM","Base_EAFRS","LVA","FOR","AREA",2040,"1000 ha",3461.0087031
"GLOBIOM","Base_EAFRS","LVA","FOR","AREA",2050,"1000 ha",3461.0087031
"GLOBIOM","Base_EAFRS","MLT","FOR","AREA",2000,"1000 ha",0.3
"GLOBIOM","Base_EAFRS","MLT","FOR","AREA",2010,"1000 ha",0.3
"GLOBIOM","Base_EAFRS","MLT","FOR","AREA",2020,"1000 ha",0.3
"GLOBIOM","Base_EAFRS","MLT","FOR","AREA",2030,"1000 ha",0.3
"GLOBIOM","Base_EAFRS","MLT","FOR","AREA",2040,"1000 ha",0.3
"GLOBIOM","Base_EAFRS","MLT","FOR","AREA",2050,"1000 ha",0.3
"GLOBIOM","Base_EAFRS","NLD","FOR","AREA",2000,"1000 ha",359.833
"GLOBIOM","Base_EAFRS","NLD","FOR","AREA",2010,"1000 ha",369.8332217
"GLOBIOM","Base_EAFRS","NLD","FOR","AREA",2020,"1000 ha",387.7831328
"GLOBIOM","Base_EAFRS","NLD","FOR","AREA",2030,"1000 ha",387.7831328
"GLOBIOM","Base_EAFRS","NLD","FOR","AREA",2040,"1000 ha",387.7831328
"GLOBIOM","Base_EAFRS","NLD","FOR","AREA",2050,"1000 ha",387.7831328
"GLOBIOM","Base_EAFRS","POL","FOR","AREA",2000,"1000 ha",9061.933
"GLOBIOM","Base_EAFRS","POL","FOR","AREA",2010,"1000 ha",9343.2546875
"GLOBIOM","Base_EAFRS","POL","FOR","AREA",2020,"1000 ha",9514.9168125
"GLOBIOM","Base_EAFRS","POL","FOR","AREA",2030,"1000 ha",9514.9168125
"GLOBIOM","Base_EAFRS","POL","FOR","AREA",2040,"1000 ha",9514.9168125
"GLOBIOM","Base_EAFRS","POL","FOR","AREA",2050,"1000 ha",9514.9168125
"GLOBIOM","Base_EAFRS","PRT","FOR","AREA",2000,"1000 ha",3580.2
"GLOBIOM","Base_EAFRS","PRT","FOR","AREA",2010,"1000 ha",3619.8150859
"GLOBIOM","Base_EAFRS","PRT","FOR","AREA",2020,"1000 ha",3714.1436406
"GLOBIOM","Base_EAFRS","PRT","FOR","AREA",2030,"1000 ha",3714.1436406
"GLOBIOM","Base_EAFRS","PRT","FOR","AREA",2040,"1000 ha",3714.1436406
"GLOBIOM","Base_EAFRS","PRT","FOR","AREA",2050,"1000 ha",3714.1436406
"GLOBIOM","Base_EAFRS","ROU","FOR","AREA",2000,"1000 ha",6366.433
"GLOBIOM","Base_EAFRS","ROU","FOR","AREA",2010,"1000 ha",6577.9937344
"GLOBIOM","Base_EAFRS","ROU","FOR","AREA",2020,"1000 ha",6794.5015625
"GLOBIOM","Base_EAFRS","ROU","FOR","AREA",2030,"1000 ha",6794.5015625
"GLOBIOM","Base_EAFRS","ROU","FOR","AREA",2040,"1000 ha",6794.5015625
"GLOBIOM","Base_EAFRS","ROU","FOR","AREA",2050,"1000 ha",6794.5015625
"GLOBIOM","Base_EAFRS","SVK","FOR","AREA",2000,"1000 ha",1921.567
"GLOBIOM","Base_EAFRS","SVK","FOR","AREA",2010,"1000 ha",1931.5761563
"GLOBIOM","Base_EAFRS","SVK","FOR","AREA",2020,"1000 ha",1944.5187969
"GLOBIOM","Base_EAFRS","SVK","FOR","AREA",2030,"1000 ha",1944.5187969
"GLOBIOM","Base_EAFRS","SVK","FOR","AREA",2040,"1000 ha",1944.5187969
"GLOBIOM","Base_EAFRS","SVK","FOR","AREA",2050,"1000 ha",1944.5187969
"GLOBIOM","Base_EAFRS","SVN","FOR","AREA",2000,"1000 ha",1239.1
"GLOBIOM","Base_EAFRS","SVN","FOR","AREA",2010,"1000 ha",1259.1000117
"GLOBIOM","Base_EAFRS","SVN","FOR","AREA",2020,"1000 ha",1281.9198281
"GLOBIOM","Base_EAFRS","SVN","FOR","AREA",2030,"1000 ha",1281.9198281
"GLOBIOM","Base_EAFRS","SVN","FOR","AREA",2040,"1000 ha",1281.9198281
"GLOBIOM","Base_EAFRS","SVN","FOR","AREA",2050,"1000 ha",1281.9198281
"GLOBIOM","Base_EAFRS","SWE","FOR","AREA",2000,"1000 ha",27474.033
"GLOBIOM","Base_EAFRS","SWE","FOR","AREA",2010,"1000 ha",28288.95675
"GLOBIOM","Base_EAFRS","SWE","FOR","AREA",2020,"1000 ha",28684.666
"GLOBIOM","Base_EAFRS","SWE","FOR","AREA",2030,"1000 ha",28684.666
"GLOBIOM","Base_EAFRS","SWE","FOR","AREA",2040,"1000 ha",28684.666
"GLOBIOM","Base_EAFRS","SWE","FOR","AREA",2050,"1000 ha",28684.666
"GLOBIOM","Base_EAFRS","EUE","FOR","AREA",2000,"1000 ha",152815.703
"GLOBIOM","Base_EAFRS","EUE","FOR","AREA",2010,"1000 ha",157271.0562848
"GLOBIOM","Base_EAFRS","EUE","FOR","AREA",2020,"1000 ha",160123.4108224
"GLOBIOM","Base_EAFRS","EUE","FOR","AREA",2030,"1000 ha",160123.4108224
"GLOBIOM","Base_EAFRS","EUE","FOR","AREA",2040,"1000 ha",160123.4108224
"GLOBIOM","Base_EAFRS","EUE","FOR","AREA",2050,"1000 ha",160123.4108224
"GLOBIOM","Base_EAFRS","GBR","FOR","AREA",2000,"1000 ha",2790.4
"GLOBIOM","Base_EAFRS","GBR","FOR","AREA",2010,"1000 ha",2790.4
"GLOBIOM","Base_EAFRS","GBR","FOR","AREA",2020,"1000 ha",2790.4
"GLOBIOM","Base_EAFRS","GBR","FOR","AREA",2030,"1000 ha",2790.4
"GLOBIOM","Base_EAFRS","GBR","FOR","AREA",2040,"1000 ha",2790.4
"GLOBIOM","Base_EAFRS","GBR","FOR","AREA",2050,"1000 ha",2790.4
"GLOBIOM","Base_EAFRS","NOR","FOR","AREA",2000,"1000 ha",9301.033
"GLOBIOM","Base_EAFRS","NOR","FOR","AREA",2010,"1000 ha",9301.033
"GLOBIOM","Base_EAFRS","NOR","FOR","AREA",2020,"1000 ha",9301.033
"GLOBIOM","Base_EAFRS","NOR","FOR","AREA",2030,"1000 ha",9301.033
"GLOBIOM","Base_EAFRS","NOR","FOR","AREA",2040,"1000 ha",9301.033
"GLOBIOM","Base_EAFRS","NOR","FOR","AREA",2050,"1000 ha",9301.033
"GLOBIOM","Base_EAFRS","OAM","FOR","AREA",2000,"1000 ha",973842.61
"GLOBIOM","Base_EAFRS","OAM","FOR","AREA",2010,"1000 ha",964443.075727587
"GLOBIOM","Base_EAFRS","OAM","FOR","AREA",2020,"1000 ha",954467.201241143
"GLOBIOM","Base_EAFRS","OAM","FOR","AREA",2030,"1000 ha",943118.990980469
"GLOBIOM","Base_EAFRS","OAM","FOR","AREA",2040,"1000 ha",931707.654846507
"GLOBIOM","Base_EAFRS","OAM","FOR","AREA",2050,"1000 ha",919092.61856064
"GLOBIOM","Base_EAFRS","AME","FOR","AREA",2000,"1000 ha",810728.406
"GLOBIOM","Base_EAFRS","AME","FOR","AREA",2010,"1000 ha",800062.882334297
"GLOBIOM","Base_EAFRS","AME","FOR","AREA",2020,"1000 ha",788815.269859083
"GLOBIOM","Base_EAFRS","AME","FOR","AREA",2030,"1000 ha",772610.909171596
"GLOBIOM","Base_EAFRS","AME","FOR","AREA",2040,"1000 ha",756140.211367544
"GLOBIOM","Base_EAFRS","AME","FOR","AREA",2050,"1000 ha",741607.52959331
"GLOBIOM","Base_FPFRS","WLD","FOR","AREA",2000,"1000 ha",4298877.892
"GLOBIOM","Base_FPFRS","WLD","FOR","AREA",2010,"1000 ha",4275985.13411352
"GLOBIOM","Base_FPFRS","WLD","FOR","AREA",2020,"1000 ha",4250732.50591213
"GLOBIOM","Base_FPFRS","WLD","FOR","AREA",2030,"1000 ha",4221228.75091941
"GLOBIOM","Base_FPFRS","WLD","FOR","AREA",2040,"1000 ha",4188537.46799775
"GLOBIOM","Base_FPFRS","WLD","FOR","AREA",2050,"1000 ha",4157184.38956389
"GLOBIOM","Base_FPFRS","ANZ","FOR","AREA",2000,"1000 ha",172903.834
"GLOBIOM","Base_FPFRS","ANZ","FOR","AREA",2010,"1000 ha",172903.834
"GLOBIOM","Base_FPFRS","ANZ","FOR","AREA",2020,"1000 ha",172903.834
"GLOBIOM","Base_FPFRS","ANZ","FOR","AREA",2030,"1000 ha",172903.834
"GLOBIOM","Base_FPFRS","ANZ","FOR","AREA",2040,"1000 ha",172903.834
"GLOBIOM","Base_FPFRS","ANZ","FOR","AREA",2050,"1000 ha",172903.834
"GLOBIOM","Base_FPFRS","USA","FOR","AREA",2000,"1000 ha",330832.52
"GLOBIOM","Base_FPFRS","USA","FOR","AREA",2010,"1000 ha",330832.52
"GLOBIOM","Base_FPFRS","USA","FOR","AREA",2020,"1000 ha",330832.52
"GLOBIOM","Base_FPFRS","USA","FOR","AREA",2030,"1000 ha",330832.52
"GLOBIOM","Base_FPFRS","USA","FOR","AREA",2040,"1000 ha",330832.52
"GLOBIOM","Base_FPFRS","USA","FOR","AREA",2050,"1000 ha",330832.52
"GLOBIOM","Base_FPFRS","SAS","FOR","AREA",2000,"1000 ha",560653.362
"GLOBIOM","Base_FPFRS","SAS","FOR","AREA",2010,"1000 ha",553370.308766835
"GLOBIOM","Base_FPFRS","SAS","FOR","AREA",2020,"1000 ha",546488.812989505
"GLOBIOM","Base_FPFRS","SAS","FOR","AREA",2030,"1000 ha",540343.437874853
"GLOBIOM","Base_FPFRS","SAS","FOR","AREA",2040,"1000 ha",533716.478112117
"GLOBIOM","Base_FPFRS","SAS","FOR","AREA",2050,"1000 ha",527061.667108364
"GLOBIOM","Base_FPFRS","NAM","FOR","AREA",2000,"1000 ha",765226.21
"GLOBIOM","Base_FPFRS","NAM","FOR","AREA",2010,"1000 ha",765226.21
"GLOBIOM","Base_FPFRS","NAM","FOR","AREA",2020,"1000 ha",765226.21
"GLOBIOM","Base_FPFRS","NAM","FOR","AREA",2030,"1000 ha",765226.21
"GLOBIOM","Base_FPFRS","NAM","FOR","AREA",2040,"1000 ha",765226.21
"GLOBIOM","Base_FPFRS","NAM","FOR","AREA",2050,"1000 ha",765226.21
"GLOBIOM","Base_FPFRS","FSU","FOR","AREA",2000,"1000 ha",842866.867
"GLOBIOM","Base_FPFRS","FSU","FOR","AREA",2010,"1000 ha",842866.867
"GLOBIOM","Base_FPFRS","FSU","FOR","AREA",2020,"1000 ha",842866.866999998
"GLOBIOM","Base_FPFRS","FSU","FOR","AREA",2030,"1000 ha",842866.866999999
"GLOBIOM","Base_FPFRS","FSU","FOR","AREA",2040,"1000 ha",842866.866999999
"GLOBIOM","Base_FPFRS","FSU","FOR","AREA",2050,"1000 ha",842866.866999999
"GLOBIOM","Base_FPFRS","BRA","FOR","AREA",2000,"1000 ha",493072.467
"GLOBIOM","Base_FPFRS","BRA","FOR","AREA",2010,"1000 ha",490882.876177306
"GLOBIOM","Base_FPFRS","BRA","FOR","AREA",2020,"1000 ha",487846.340454664
"GLOBIOM","Base_FPFRS","BRA","FOR","AREA",2030,"1000 ha",482933.10087096
"GLOBIOM","Base_FPFRS","BRA","FOR","AREA",2040,"1000 ha",477789.881397584
"GLOBIOM","Base_FPFRS","BRA","FOR","AREA",2050,"1000 ha",472462.585356852
"GLOBIOM","Base_FPFRS","CAN","FOR","AREA",2000,"1000 ha",434393.69
"GLOBIOM","Base_FPFRS","CAN","FOR","AREA",2010,"1000 ha",434393.69
"GLOBIOM","Base_FPFRS","CAN","FOR","AREA",2020,"1000 ha",434393.69
"GLOBIOM","Base_FPFRS","CAN","FOR","AREA",2030,"1000 ha",434393.69
"GLOBIOM","Base_FPFRS","CAN","FOR","AREA",2040,"1000 ha",434393.69
"GLOBIOM","Base_FPFRS","CAN","FOR","AREA",2050,"1000 ha",434393.69
"GLOBIOM","Base_FPFRS","CHN","FOR","AREA",2000,"1000 ha",177691.6
"GLOBIOM","Base_FPFRS","CHN","FOR","AREA",2010,"1000 ha",177691.6
"GLOBIOM","Base_FPFRS","CHN","FOR","AREA",2020,"1000 ha",177691.6
"GLOBIOM","Base_FPFRS","CHN","FOR","AREA",2030,"1000 ha",177691.6
"GLOBIOM","Base_FPFRS","CHN","FOR","AREA",2040,"1000 ha",177691.6
"GLOBIOM","Base_FPFRS","CHN","FOR","AREA",2050,"1000 ha",177691.6
"GLOBIOM","Base_FPFRS","EUR","FOR","AREA",2000,"1000 ha",172656.603
"GLOBIOM","Base_FPFRS","EUR","FOR","AREA",2010,"1000 ha",177111.9562848
"GLOBIOM","Base_FPFRS","EUR","FOR","AREA",2020,"1000 ha",179964.3108224
"GLOBIOM","Base_FPFRS","EUR","FOR","AREA",2030,"1000 ha",184164.3108224
"GLOBIOM","Base_FPFRS","EUR","FOR","AREA",2040,"1000 ha",185984.9597833
"GLOBIOM","Base_FPFRS","EUR","FOR","AREA",2050,"1000 ha",188204.3023536
