"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","BASE","OAS","FOR","AREA",2010,"1000 ha",48491.9093624712
"GLOBIOM","BASE","OAS","FOR","AREA",2020,"1000 ha",48154.8057882395
"GLOBIOM","BASE","OAS","FOR","AREA",2030,"1000 ha",48081.3907994897
"GLOBIOM","BASE","OAS","FOR","AREA",2040,"1000 ha",47807.7977949039
"GLOBIOM","BASE","OAS","FOR","AREA",2050,"1000 ha",47469.0115113495
"GLOBIOM","BASE","OSA","FOR","AREA",2000,"1000 ha",480770.143
"GLOBIOM","BASE","OSA","FOR","AREA",2010,"1000 ha",473560.19955028
"GLOBIOM","BASE","OSA","FOR","AREA",2020,"1000 ha",466620.860786479
"GLOBIOM","BASE","OSA","FOR","AREA",2030,"1000 ha",460183.731826169
"GLOBIOM","BASE","OSA","FOR","AREA",2040,"1000 ha",453904.141539589
"GLOBIOM","BASE","OSA","FOR","AREA",2050,"1000 ha",446848.205475024
"GLOBIOM","BASE","SEA","FOR","AREA",2000,"1000 ha",266379.132
"GLOBIOM","BASE","SEA","FOR","AREA",2010,"1000 ha",259743.499404364
"GLOBIOM","BASE","SEA","FOR","AREA",2020,"1000 ha",253199.107201266
"GLOBIOM","BASE","SEA","FOR","AREA",2030,"1000 ha",247127.168096672
"GLOBIOM","BASE","SEA","FOR","AREA",2040,"1000 ha",240751.840987151
"GLOBIOM","BASE","SEA","FOR","AREA",2050,"1000 ha",234396.905618359
"GLOBIOM","BASE","SSA","FOR","AREA",2000,"1000 ha",771356.39
"GLOBIOM","BASE","SSA","FOR","AREA",2010,"1000 ha",760690.866334297
"GLOBIOM","BASE","SSA","FOR","AREA",2020,"1000 ha",749443.253859083
"GLOBIOM","BASE","SSA","FOR","AREA",2030,"1000 ha",733238.915419225
"GLOBIOM","BASE","SSA","FOR","AREA",2040,"1000 ha",716767.895770267
"GLOBIOM","BASE","SSA","FOR","AREA",2050,"1000 ha",702233.297322902
"GLOBIOM","BASE","IND","FOR","AREA",2000,"1000 ha",67443.3
"GLOBIOM","BASE","IND","FOR","AREA",2010,"1000 ha",67443.3
"GLOBIOM","BASE","IND","FOR","AREA",2020,"1000 ha",67443.3
"GLOBIOM","BASE","IND","FOR","AREA",2030,"1000 ha",67443.3
"GLOBIOM","BASE","IND","FOR","AREA",2040,"1000 ha",67443.3
"GLOBIOM","BASE","IND","FOR","AREA",2050,"1000 ha",67443.3
"GLOBIOM","BASE","AUT","FOR","AREA",2000,"1000 ha",3837.533
"GLOBIOM","BASE","AUT","FOR","AREA",2010,"1000 ha",4347.1683125
"GLOBIOM","BASE","AUT","FOR","AREA",2020,"1000 ha",4545.668
"GLOBIOM","BASE","AUT","FOR","AREA",2030,"1000 ha",4575.47825
"GLOBIOM","BASE","AUT","FOR","AREA",2040,"1000 ha",4593.48475
"GLOBIOM","BASE","AUT","FOR","AREA",2050,"1000 ha",4593.48475
"GLOBIOM","BASE","BEL","FOR","AREA",2000,"1000 ha",668.41
"GLOBIOM","BASE","BEL","FOR","AREA",2010,"1000 ha",678.4099922
"GLOBIOM","BASE","BEL","FOR","AREA",2020,"1000 ha",688.8519473
"GLOBIOM","BASE","BEL","FOR","AREA",2030,"1000 ha",700.39166605
"GLOBIOM","BASE","BEL","FOR","AREA",2040,"1000 ha",700.39166605
"GLOBIOM","BASE","BEL","FOR","AREA",2050,"1000 ha",711.66522855
"GLOBIOM","BASE","BGR","FOR","AREA",2000,"1000 ha",3390.067
"GLOBIOM","BASE","BGR","FOR","AREA",2010,"1000 ha",3902.28175
"GLOBIOM","BASE","BGR","FOR","AREA",2020,"1000 ha",3910.846375
"GLOBIOM","BASE","BGR","FOR","AREA",2030,"1000 ha",3910.846375
